ID;Datum;Stevilo_vseh;Stevilo_novih_bolnikov;testranih;novih_testov
1;05.03.2020;2;2;0;0
2;06.03.2020;7;5;0;0
3;07.03.2020;7;0;0;0
4;08.03.2020;16;9;0;0
5;09.03.2020;16;0;0;0
6;10.03.2020;31;15;0;0
7;11.03.2020;57;26;0;0
8;12.03.2020;89;32;3863;3863
9;13.03.2020;141;52;5060;1197
10;14.03.2020;181;40;5976;916
11;15.03.2020;219;38;6566;590
12;16.03.2020;253;34;7437;871
13;17.03.2020;275;22;8558;1121
14;18.03.2020;275;0;9584;1026
15;19.03.2020;286;11;10768;1184
16;20.03.2020;341;55;12010;1242
17;21.03.2020;383;42;12882;872
18;22.03.2020;414;31;13613;731
19;23.03.2020;442;28;14870;1257
20;24.03.2020;480;38;16113;1243
21;25.03.2020;528;48;17294;1181
22;26.03.2020;562;34;18369;1075
23;27.03.2020;632;70;19756;1387
24;28.03.2020;684;52;20753;997
25;29.03.2020;730;46;21349;596
26;30.03.2020;756;26;22474;1125
27;31.03.2020;802;46;23762;1288
28;01.04.2020;841;39;24857;1095
29;02.04.2020;897;56;25921;1064
30;03.04.2020;934;37;27109;1188
31;04.04.2020;977;43;27764;655
32;05.04.2020;997;20;28253;489
33;06.04.2020;1021;24;29455;1202
34;07.04.2020;1059;38;30669;1214
35;08.04.2020;1091;32;31813;1144
36;09.04.2020;1124;33;33047;1234
37;10.04.2020;1160;36;34279;1232
38;11.04.2020;1188;28;34851;572
39;12.04.2020;1205;17;35405;554
40;13.04.2020;1212;7;35946;541
41;14.04.2020;1220;8;37114;1168
42;15.04.2020;1248;28;38137;1023
43;16.04.2020;1268;20;39330;1193
44;17.04.2020;1304;36;40580;1250
45;18.04.2020;1317;13;41265;685
46;19.04.2020;1330;13;41802;537
47;20.04.2020;1335;5;42976;1174
48;21.04.2020;1344;9;44435;1459
49;22.04.2020;1353;9;45703;1268
50;23.04.2020;1366;13;47018;1315
51;24.04.2020;1373;7;48179;1161
52;25.04.2020;1388;15;48973;794
53;26.04.2020;1396;8;49607;634
54;27.04.2020;1402;6;50290;683
55;28.04.2020;1408;6;51607;1317
56;29.04.2020;1418;10;52948;1341
57;30.04.2020;1429;11;54300;1352
58;01.05.2020;1434;5;55020;720
59;02.05.2020;1439;5;55520;500
60;03.05.2020;1439;0;56136;616
61;04.05.2020;1439;0;57474;1338
62;05.05.2020;1445;6;58923;1449
63;06.05.2020;1448;3;59978;1055
64;07.05.2020;1449;1;61027;1049
65;08.05.2020;1450;1;62203;1176
66;09.05.2020;1454;4;62828;625
67;10.05.2020;1457;3;63365;537
68;11.05.2020;1460;3;64547;1182
69;12.05.2020;1461;1;65694;1147
70;13.05.2020;1463;2;66678;984
71;14.05.2020;1464;1;67701;1023
72;15.05.2020;1465;1;68852;1151
73;16.05.2020;1465;0;69363;511
74;17.05.2020;1466;1;69842;479
75;18.05.2020;1466;0;70970;1128
76;19.05.2020;1467;1;71951;981
77;20.05.2020;1468;1;0;0
78;21.05.2020;1468;0;0;0
